Earthx Earthy Earthz Sunx Suny Sunz 
-0.431529 -0.902115 0 0 0 0 
-0.425852 -0.904808 0 0 0 0 
-0.420159 -0.907466 0 0 0 0 
-0.414449 -0.910088 0 0 0 0 
-0.408723 -0.912674 0 0 0 0 
-0.40298 -0.915224 0 0 0 0 
-0.397222 -0.917738 0 0 0 0 
-0.391448 -0.920215 0 0 0 0 
-0.385658 -0.922656 0 0 0 0 
-0.379854 -0.925061 0 0 0 0 
-0.374034 -0.92743 0 0 0 0 
-0.3682 -0.929761 0 0 0 0 
-0.362351 -0.932056 0 0 0 0 
-0.356487 -0.934314 0 0 0 0 
-0.35061 -0.936536 0 0 0 0 
-0.344719 -0.93872 0 0 0 0 
-0.338814 -0.940867 0 0 0 0 
-0.332896 -0.942978 0 0 0 0 
